Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG)
10,UNIGRAMS,1,Training,4139,3857,141,3998,141,7855,3998,3998,0.03526763381690846,1.0,0.03526763381690846,0.5176338169084542,0.0681323991302247,0.5089751750477403,1.0,0.7544875875238701,0.6745971484012486
10,UNIGRAMS,1,Test,1348,1318,23,1325,31,2635,1333,1333,0.01715076180898188,0.7419354838709677,0.0172543135783946,0.37959489872468116,0.033724340175953084,0.5028462998102466,0.9939984996249063,0.7484223997175765,0.6678427419354838
100,UNIGRAMS,1,Training,5070,2926,1072,3998,1072,6924,3998,3998,0.2681340670335168,1.0,0.2681340670335168,0.6340670335167584,0.42287968441814594,0.5774119006354709,1.0,0.7887059503177354,0.7321003479216261
100,UNIGRAMS,1,Test,1520,1146,227,1293,267,2399,1333,1333,0.16518251843531026,0.850187265917603,0.17029257314328583,0.5102399195304443,0.28375,0.5389745727386411,0.9699924981245311,0.7544835354315862,0.6929260450160771
1000,UNIGRAMS,1,Training,7996,0,3998,3998,3998,3998,3998,3998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1000,UNIGRAMS,1,Test,1958,708,957,1001,1289,1377,1333,1333,0.5391203389744661,0.7424359968968193,0.7179294823705926,0.730182739633706,0.7299771167048055,0.7269426289034132,0.7509377344336085,0.7389401816685108,0.7387453874538745
5000,UNIGRAMS,1,Training,7996,0,3998,3998,3998,3998,3998,3998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5000,UNIGRAMS,1,Test,1958,708,957,1001,1289,1377,1333,1333,0.5391203389744661,0.7424359968968193,0.7179294823705926,0.730182739633706,0.7299771167048055,0.7269426289034132,0.7509377344336085,0.7389401816685108,0.7387453874538745
10,UNIGRAMS,0.75,Training,4117,3879,119,3998,119,7877,3998,3998,0.02976488244122061,1.0,0.02976488244122061,0.5148824412206103,0.0578090842846733,0.507553637171512,1.0,0.7537768185857561,0.6733473684210526
10,UNIGRAMS,0.75,Test,1348,1318,24,1324,33,2633,1333,1333,0.017882940352492473,0.7272727272727273,0.01800450112528132,0.3726386141990043,0.03513909224011713,0.5028484618306115,0.9932483120780196,0.7480483869543155,0.6676752395360565
100,UNIGRAMS,0.75,Training,4790,3206,792,3998,792,7204,3998,3998,0.19809904952476237,1.0,0.19809904952476237,0.5990495247623812,0.3306889352818372,0.5549694614103275,1.0,0.7774847307051638,0.7138011069451883
100,UNIGRAMS,0.75,Test,1453,1213,147,1306,174,2492,1333,1333,0.10804389019235305,0.8448275862068966,0.11027756939234809,0.47755257779962235,0.19508958195089582,0.5240770465489567,0.9797449362340586,0.7519109913915076,0.682875816993464
1000,UNIGRAMS,0.75,Training,7996,0,3998,3998,3998,3998,3998,3998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1000,UNIGRAMS,0.75,Test,1971,695,951,1020,1264,1402,1333,1333,0.5459091704659098,0.752373417721519,0.7134283570892723,0.7329008874053957,0.7323835194455139,0.7275320970042796,0.7651912978244562,0.7463616974143679,0.7458866544789763
5000,UNIGRAMS,0.75,Training,7996,0,3998,3998,3998,3998,3998,3998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5000,UNIGRAMS,0.75,Test,1971,695,951,1020,1264,1402,1333,1333,0.5459091704659098,0.752373417721519,0.7134283570892723,0.7329008874053957,0.7323835194455139,0.7275320970042796,0.7651912978244562,0.7463616974143679,0.7458866544789763
10,UNIGRAMS,0.5,Training,4155,3841,157,3998,157,7839,3998,3998,0.0392696348174087,1.0,0.0392696348174087,0.5196348174087043,0.07557160048134777,0.5100140324020921,1.0,0.755007016201046,0.6755089972121314
10,UNIGRAMS,0.5,Test,1346,1320,27,1319,41,2625,1333,1333,0.020042332413561004,0.6585365853658537,0.020255063765941484,0.33939582456589756,0.039301310043668124,0.5024761904761905,0.9894973743435859,0.7459867824098882,0.6664982314300151
