Max Iterations,Feature Set,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG)
10,UNIGRAMS,Training,3998,3998,3998,0,7996,0,3998,3998,0.0,0.5,1.0,0.75,0.6666666666666666,0,0.0,0.0,0
10,UNIGRAMS,Test,1334,1332,1333,1,2665,1,1333,1333,0.0007501875468867217,0.500187617260788,1.0,0.750093808630394,0.6668334167083542,1.0,0.0007501875468867217,0.5003750937734434,0.0014992503748125937
20,UNIGRAMS,Training,3998,3998,3998,0,7996,0,3998,3998,0.0,0.5,1.0,0.75,0.6666666666666666,0,0.0,0.0,0
20,UNIGRAMS,Test,1334,1332,1333,1,2665,1,1333,1333,0.0007501875468867217,0.500187617260788,1.0,0.750093808630394,0.6668334167083542,1.0,0.0007501875468867217,0.5003750937734434,0.0014992503748125937
30,UNIGRAMS,Training,3998,3998,3998,0,7996,0,3998,3998,0.0,0.5,1.0,0.75,0.6666666666666666,0,0.0,0.0,0
30,UNIGRAMS,Test,1334,1332,1333,1,2665,1,1333,1333,0.0007501875468867217,0.500187617260788,1.0,0.750093808630394,0.6668334167083542,1.0,0.0007501875468867217,0.5003750937734434,0.0014992503748125937
50,UNIGRAMS,Training,3998,3998,3998,0,7996,0,3998,3998,0.0,0.5,1.0,0.75,0.6666666666666666,0,0.0,0.0,0
50,UNIGRAMS,Test,1334,1332,1333,1,2665,1,1333,1333,0.0007501875468867217,0.500187617260788,1.0,0.750093808630394,0.6668334167083542,1.0,0.0007501875468867217,0.5003750937734434,0.0014992503748125937
10,BIGRAMS,Training,3997,3996,3997,0,7993,0,3998,3995,0.0,0.5000625547353935,0.9997498749374687,0.749906214836431,0.6666666666666667,0,0.0,0.0,0
10,BIGRAMS,Test,1340,1325,1265,75,2522,143,1333,1332,0.05343396659975805,0.5015860428231562,0.9489872468117029,0.7252866448174295,0.6562905317769131,0.5244755244755245,0.05630630630630631,0.2903909153909154,0.1016949152542373
20,BIGRAMS,Training,3997,3996,3997,0,7993,0,3998,3995,0.0,0.5000625547353935,0.9997498749374687,0.749906214836431,0.6666666666666667,0,0.0,0.0,0
20,BIGRAMS,Test,1340,1325,1265,75,2522,143,1333,1332,0.05343396659975805,0.5015860428231562,0.9489872468117029,0.7252866448174295,0.6562905317769131,0.5244755244755245,0.05630630630630631,0.2903909153909154,0.1016949152542373
30,BIGRAMS,Training,3997,3996,3997,0,7993,0,3998,3995,0.0,0.5000625547353935,0.9997498749374687,0.749906214836431,0.6666666666666667,0,0.0,0.0,0
30,BIGRAMS,Test,1340,1325,1265,75,2522,143,1333,1332,0.05343396659975805,0.5015860428231562,0.9489872468117029,0.7252866448174295,0.6562905317769131,0.5244755244755245,0.05630630630630631,0.2903909153909154,0.1016949152542373
50,BIGRAMS,Training,3997,3996,3997,0,7993,0,3998,3995,0.0,0.5000625547353935,0.9997498749374687,0.749906214836431,0.6666666666666667,0,0.0,0.0,0
50,BIGRAMS,Test,1340,1325,1265,75,2522,143,1333,1332,0.05343396659975805,0.5015860428231562,0.9489872468117029,0.7252866448174295,0.6562905317769131,0.5244755244755245,0.05630630630630631,0.2903909153909154,0.1016949152542373
10,3-GRAMS,Training,3989,3979,3989,0,7968,0,3998,3970,0.0,0.5006275100401606,0.9977488744372186,0.7491881922386896,0.6667223800768844,0,0.0,0.0,0
10,3-GRAMS,Test,1335,1324,495,840,982,1677,1333,1326,0.23523980542646972,0.5040733197556008,0.37134283570892723,0.437708077732264,0.427645788336933,0.5008944543828264,0.6334841628959276,0.567189308639377,0.5594405594405594
20,3-GRAMS,Training,3989,3979,3989,0,7968,0,3998,3970,0.0,0.5006275100401606,0.9977488744372186,0.7491881922386896,0.6667223800768844,0,0.0,0.0,0
20,3-GRAMS,Test,1335,1324,495,840,982,1677,1333,1326,0.23523980542646972,0.5040733197556008,0.37134283570892723,0.437708077732264,0.427645788336933,0.5008944543828264,0.6334841628959276,0.567189308639377,0.5594405594405594
30,3-GRAMS,Training,3989,3979,3989,0,7968,0,3998,3970,0.0,0.5006275100401606,0.9977488744372186,0.7491881922386896,0.6667223800768844,0,0.0,0.0,0
30,3-GRAMS,Test,1335,1324,495,840,982,1677,1333,1326,0.23523980542646972,0.5040733197556008,0.37134283570892723,0.437708077732264,0.427645788336933,0.5008944543828264,0.6334841628959276,0.567189308639377,0.5594405594405594
50,3-GRAMS,Training,3989,3979,3989,0,7968,0,3998,3970,0.0,0.5006275100401606,0.9977488744372186,0.7491881922386896,0.6667223800768844,0,0.0,0.0,0
50,3-GRAMS,Test,1335,1324,495,840,982,1677,1333,1326,0.23523980542646972,0.5040733197556008,0.37134283570892723,0.437708077732264,0.427645788336933,0.5008944543828264,0.6334841628959276,0.567189308639377,0.5594405594405594
10,4-GRAMS,Training,3927,3918,3927,0,7845,0,3998,3847,0.0,0.5005736137667304,0.9822411205602801,0.7414073671635053,0.6631765599932449,0,0.0,0.0,0
10,4-GRAMS,Test,1333,1292,100,1233,172,2453,1333,1292,0.07159297564329163,0.5813953488372093,0.07501875468867217,0.32820705176294074,0.132890365448505,0.5026498165511618,0.9543343653250774,0.7284920909381196,0.6584779706275032
20,4-GRAMS,Training,3927,3918,3927,0,7845,0,3998,3847,0.0,0.5005736137667304,0.9822411205602801,0.7414073671635053,0.6631765599932449,0,0.0,0.0,0
20,4-GRAMS,Test,1333,1292,100,1233,172,2453,1333,1292,0.07159297564329163,0.5813953488372093,0.07501875468867217,0.32820705176294074,0.132890365448505,0.5026498165511618,0.9543343653250774,0.7284920909381196,0.6584779706275032
30,4-GRAMS,Training,3927,3918,3927,0,7845,0,3998,3847,0.0,0.5005736137667304,0.9822411205602801,0.7414073671635053,0.6631765599932449,0,0.0,0.0,0
30,4-GRAMS,Test,1333,1292,100,1233,172,2453,1333,1292,0.07159297564329163,0.5813953488372093,0.07501875468867217,0.32820705176294074,0.132890365448505,0.5026498165511618,0.9543343653250774,0.7284920909381196,0.6584779706275032
50,4-GRAMS,Training,3927,3918,3927,0,7845,0,3998,3847,0.0,0.5005736137667304,0.9822411205602801,0.7414073671635053,0.6631765599932449,0,0.0,0.0,0
50,4-GRAMS,Test,1333,1292,100,1233,172,2453,1333,1292,0.07159297564329163,0.5813953488372093,0.07501875468867217,0.32820705176294074,0.132890365448505,0.5026498165511618,0.9543343653250774,0.7284920909381196,0.6584779706275032
10,5-GRAMS,Training,3841,3816,3841,0,7657,0,3998,3659,0.0,0.5016324931435288,0.9607303651825913,0.7311814291630601,0.659116259116259,0,0.0,0.0,0
10,5-GRAMS,Test,1272,1284,14,1258,26,2530,1333,1223,0.010803191394741571,0.5384615384615384,0.010502625656414103,0.2744820820589763,0.020603384841795434,0.4972332015810277,1.0286181520850368,0.7629256768330323,0.6703970157207568
20,5-GRAMS,Training,3841,3816,3841,0,7657,0,3998,3659,0.0,0.5016324931435288,0.9607303651825913,0.7311814291630601,0.659116259116259,0,0.0,0.0,0
20,5-GRAMS,Test,1272,1284,14,1258,26,2530,1333,1223,0.010803191394741571,0.5384615384615384,0.010502625656414103,0.2744820820589763,0.020603384841795434,0.4972332015810277,1.0286181520850368,0.7629256768330323,0.6703970157207568
30,5-GRAMS,Training,3841,3816,3841,0,7657,0,3998,3659,0.0,0.5016324931435288,0.9607303651825913,0.7311814291630601,0.659116259116259,0,0.0,0.0,0
30,5-GRAMS,Test,1272,1284,14,1258,26,2530,1333,1223,0.010803191394741571,0.5384615384615384,0.010502625656414103,0.2744820820589763,0.020603384841795434,0.4972332015810277,1.0286181520850368,0.7629256768330323,0.6703970157207568
50,5-GRAMS,Training,3841,3816,3841,0,7657,0,3998,3659,0.0,0.5016324931435288,0.9607303651825913,0.7311814291630601,0.659116259116259,0,0.0,0.0,0
50,5-GRAMS,Test,1272,1284,14,1258,26,2530,1333,1223,0.010803191394741571,0.5384615384615384,0.010502625656414103,0.2744820820589763,0.020603384841795434,0.4972332015810277,1.0286181520850368,0.7629256768330323,0.6703970157207568
10,6-GRAMS,Training,3717,3682,3717,0,7399,0,3998,3401,0.0,0.5023651844843898,0.9297148574287144,0.7160400209565521,0.6522769149776257,0,0.0,0.0,0
10,6-GRAMS,Test,1224,1231,4,1220,9,2446,1333,1122,0.003262847797510875,0.4444444444444444,0.003000750187546887,0.22372259731599564,0.005961251862891207,0.4987735077677841,1.0873440285204992,0.7930587681441417,0.6838565022421524
20,6-GRAMS,Training,3717,3682,3717,0,7399,0,3998,3401,0.0,0.5023651844843898,0.9297148574287144,0.7160400209565521,0.6522769149776257,0,0.0,0.0,0
20,6-GRAMS,Test,1224,1231,4,1220,9,2446,1333,1122,0.003262847797510875,0.4444444444444444,0.003000750187546887,0.22372259731599564,0.005961251862891207,0.4987735077677841,1.0873440285204992,0.7930587681441417,0.6838565022421524
30,6-GRAMS,Training,3717,3682,3717,0,7399,0,3998,3401,0.0,0.5023651844843898,0.9297148574287144,0.7160400209565521,0.6522769149776257,0,0.0,0.0,0
30,6-GRAMS,Test,1224,1231,4,1220,9,2446,1333,1122,0.003262847797510875,0.4444444444444444,0.003000750187546887,0.22372259731599564,0.005961251862891207,0.4987735077677841,1.0873440285204992,0.7930587681441417,0.6838565022421524
50,6-GRAMS,Training,3717,3682,3717,0,7399,0,3998,3401,0.0,0.5023651844843898,0.9297148574287144,0.7160400209565521,0.6522769149776257,0,0.0,0.0,0
50,6-GRAMS,Test,1224,1231,4,1220,9,2446,1333,1122,0.003262847797510875,0.4444444444444444,0.003000750187546887,0.22372259731599564,0.005961251862891207,0.4987735077677841,1.0873440285204992,0.7930587681441417,0.6838565022421524
10,1to6-GRAMS,Training,3998,3998,3998,0,7996,0,3998,3998,0.0,0.5,1.0,0.75,0.6666666666666666,0,0.0,0.0,0
10,1to6-GRAMS,Test,1334,1332,1333,1,2665,1,1333,1333,0.0007501875468867217,0.500187617260788,1.0,0.750093808630394,0.6668334167083542,1.0,0.0007501875468867217,0.5003750937734434,0.0014992503748125937
20,1to6-GRAMS,Training,3998,3998,3998,0,7996,0,3998,3998,0.0,0.5,1.0,0.75,0.6666666666666666,0,0.0,0.0,0
20,1to6-GRAMS,Test,1334,1332,1333,1,2665,1,1333,1333,0.0007501875468867217,0.500187617260788,1.0,0.750093808630394,0.6668334167083542,1.0,0.0007501875468867217,0.5003750937734434,0.0014992503748125937
30,1to6-GRAMS,Training,3998,3998,3998,0,7996,0,3998,3998,0.0,0.5,1.0,0.75,0.6666666666666666,0,0.0,0.0,0
30,1to6-GRAMS,Test,1334,1332,1333,1,2665,1,1333,1333,0.0007501875468867217,0.500187617260788,1.0,0.750093808630394,0.6668334167083542,1.0,0.0007501875468867217,0.5003750937734434,0.0014992503748125937
50,1to6-GRAMS,Training,3998,3998,3998,0,7996,0,3998,3998,0.0,0.5,1.0,0.75,0.6666666666666666,0,0.0,0.0,0
50,1to6-GRAMS,Test,1334,1332,1333,1,2665,1,1333,1333,0.0007501875468867217,0.500187617260788,1.0,0.750093808630394,0.6668334167083542,1.0,0.0007501875468867217,0.5003750937734434,0.0014992503748125937
