Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG)
10,UNIGRAMS,1,Training,4097,3899,99,3998,99,7897,3998,3998,0.024762381190595296,1.0,0.024762381190595296,0.5123811905952976,0.048328044910910424,0.506268203115107,1.0,0.7531341015575534,0.6722152164775116
10,UNIGRAMS,1,Test,1337,1329,9,1328,12,2651,1333,1333,0.006726362760982819,0.75,0.006751687921980495,0.3783758439609902,0.013382899628252789,0.5009430403621274,0.9962490622655664,0.748596051313847,0.6666666666666665
100,UNIGRAMS,1,Training,4766,3230,768,3998,768,7228,3998,3998,0.192096048024012,1.0,0.192096048024012,0.596048024012006,0.3222828367603861,0.5531267293857222,1.0,0.7765633646928611,0.7122750757170853
100,UNIGRAMS,1,Test,1469,1197,168,1301,199,2465,1333,1333,0.12300599530978017,0.8442211055276382,0.12603150787696923,0.4851263067023037,0.21932114882506526,0.527789046653144,0.9759939984996249,0.7518915225763845,0.6850974196945759
10,BIGRAMS,1,Training,7773,220,3777,3996,3777,4216,3998,3995,0.9449588373661174,1.0,0.9447223611805903,0.9723611805902952,0.9715755627009646,0.9478178368121443,1.000250312891114,0.9740340748516292,0.9733284618195105
10,BIGRAMS,1,Test,1639,1026,767,872,1150,1370,1333,1332,0.3766842611553789,0.6669565217391304,0.5753938484621155,0.621175185100623,0.6178010471204188,0.6364963503649635,0.6546546546546547,0.6455755025098091,0.6454478164322723
100,BIGRAMS,1,Training,7993,0,3997,3996,3997,3996,3998,3995,1.0000001252190551,1.0,0.9997498749374687,0.9998749374687343,0.9998749218261413,1.0,1.000250312891114,1.000125156445557,1.0001251407833813
100,BIGRAMS,1,Test,1659,1006,848,811,1294,1228,1333,1332,0.38733106700098446,0.6553323029366306,0.63615903975994,0.6457456713482853,0.6456033498287019,0.6604234527687296,0.6088588588588588,0.6346411558137942,0.63359375
10,3-GRAMS,1,Training,7764,204,3785,3979,3785,4183,3998,3970,0.9488695859264645,1.0,0.9467233616808404,0.9733616808404202,0.9726326609276629,0.951231173798709,1.0022670025188918,0.9767490881588003,0.9760824236477371
10,3-GRAMS,1,Test,583,2076,245,338,392,585,1333,1326,0.046849947781062905,0.625,0.1837959489872468,0.4043979744936234,0.28405797101449276,0.5777777777777777,0.2549019607843137,0.4163398692810457,0.35374149659863946
100,3-GRAMS,1,Training,7968,0,3989,3979,3989,3979,3998,3970,1.0000107736487893,1.0,0.9977488744372186,0.9988744372186094,0.9988731688994615,1.0,1.0022670025188918,1.0011335012594458,1.0011322178890427
100,3-GRAMS,1,Test,582,2077,317,265,539,443,1333,1326,0.047526021776937454,0.588126159554731,0.23780945236309078,0.4129678059589109,0.3386752136752137,0.5981941309255079,0.19984917043740574,0.3990216506814568,0.29960429621254947
10,4-GRAMS,1,Training,7845,0,3927,3918,3927,3918,3998,3847,1.0003693034455883,1.0,0.9822411205602801,0.9911205602801401,0.9910410094637224,1.0,1.0184559396932675,1.0092279698466338,1.009143593045718
10,4-GRAMS,1,Test,101,2524,60,41,91,81,1333,1292,0.0014283756697688352,0.6593406593406593,0.0450112528132033,0.3521759560769313,0.08426966292134831,0.5061728395061729,0.03173374613003096,0.26895329281810193,0.059723233794610336
100,4-GRAMS,1,Training,7845,0,3927,3918,3927,3918,3998,3847,1.0003693034455883,1.0,0.9822411205602801,0.9911205602801401,0.9910410094637224,1.0,1.0184559396932675,1.0092279698466338,1.009143593045718
100,4-GRAMS,1,Test,101,2524,60,41,91,81,1333,1292,0.0014283756697688352,0.6593406593406593,0.0450112528132033,0.3521759560769313,0.08426966292134831,0.5061728395061729,0.03173374613003096,0.26895329281810193,0.059723233794610336
10,5-GRAMS,1,Training,7657,0,3841,3816,3841,3816,3998,3659,1.0019532860171545,1.0,0.9607303651825913,0.9803651825912956,0.9799719351958158,1.0,1.042907898332878,1.021453949166439,1.0210033444816053
10,5-GRAMS,1,Test,19,2537,11,8,15,11,1333,1223,5.397915300574939e-05,0.7333333333333333,0.008252063015753939,0.37079269817454363,0.01632047477744807,0.7272727272727273,0.006541291905151268,0.3669070095889393,0.012965964343598054
100,5-GRAMS,1,Training,7657,0,3841,3816,3841,3816,3998,3659,1.0019532860171545,1.0,0.9607303651825913,0.9803651825912956,0.9799719351958158,1.0,1.042907898332878,1.021453949166439,1.0210033444816053
100,5-GRAMS,1,Test,19,2537,11,8,15,11,1333,1223,5.397915300574939e-05,0.7333333333333333,0.008252063015753939,0.37079269817454363,0.01632047477744807,0.7272727272727273,0.006541291905151268,0.3669070095889393,0.012965964343598054
10,6-GRAMS,1,Training,7399,0,3717,3682,3717,3682,3998,3401,1.0065304631145329,1.0,0.9297148574287144,0.9648574287143572,0.9635774465327285,1.0,1.0826227580123493,1.0413113790061748,1.039672455174361
10,6-GRAMS,1,Test,6,2449,3,3,5,4,1333,1122,6.017547167540548e-06,0.6,0.002250562640660165,0.30112528132033006,0.004484304932735426,0.75,0.00267379679144385,0.37633689839572193,0.005328596802841918
100,6-GRAMS,1,Training,7399,0,3717,3682,3717,3682,3998,3401,1.0065304631145329,1.0,0.9297148574287144,0.9648574287143572,0.9635774465327285,1.0,1.0826227580123493,1.0413113790061748,1.039672455174361
100,6-GRAMS,1,Test,6,2449,3,3,5,4,1333,1122,6.017547167540548e-06,0.6,0.002250562640660165,0.30112528132033006,0.004484304932735426,0.75,0.00267379679144385,0.37633689839572193,0.005328596802841918
10,1to6-GRAMS,1,Training,4384,3612,386,3998,386,7610,3998,3998,0.09654827413706854,1.0,0.09654827413706854,0.5482741370685342,0.17609489051094893,0.5253613666228647,1.0,0.7626806833114324,0.6888352860096486
10,1to6-GRAMS,1,Test,1340,1326,15,1325,22,2643,1333,1333,0.011185279440640355,0.6818181818181818,0.011252813203300824,0.3465354975107413,0.02214022140221402,0.501324252743095,0.9939984996249063,0.7476613761840006,0.6664989939637828
100,1to6-GRAMS,1,Training,7996,0,3998,3998,3998,3998,3998,3998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,1to6-GRAMS,1,Test,1953,713,829,1124,1037,1628,1333,1333,0.5243974159331282,0.7994214079074252,0.6219054763690923,0.7106634421382587,0.6995780590717301,0.6904176904176904,0.8432108027006752,0.7668142465591827,0.7592029719689295
