Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG)
10,UNIGRAMS,0.75,Training,4108,3888,110,3998,110,7886,3998,3998,0.02751375687843922,1.0,0.02751375687843922,0.5137568784392196,0.05355404089581305,0.5069743849860512,1.0,0.7534871924930255,0.6728374284752608
10,UNIGRAMS,0.75,Test,1348,1318,26,1322,37,2629,1333,1333,0.019343920751380642,0.7027027027027027,0.019504876219054765,0.36110378946087873,0.03795620437956205,0.502852795739825,0.991747936984246,0.7473003663620355,0.6673397274103988
100,UNIGRAMS,0.75,Training,4741,3255,743,3998,743,7253,3998,3998,0.18584292146073036,1.0,0.18584292146073036,0.5929214607303652,0.31343598396962663,0.5512201847511374,1.0,0.7756100923755687,0.7106923828992978
100,UNIGRAMS,0.75,Test,1490,1176,195,1295,233,2433,1333,1333,0.1421163617986267,0.8369098712446352,0.14628657164291073,0.49159822144377296,0.24904214559386975,0.5322646937936704,0.9714928732183046,0.7518787835059875,0.6877323420074349
1000,UNIGRAMS,0.75,Training,7567,429,3569,3998,3569,4427,3998,3998,0.892696348174087,1.0,0.892696348174087,0.9463481740870435,0.9433064622703846,0.9030946464874633,1.0,0.9515473232437317,0.9490801186943619
1000,UNIGRAMS,0.75,Test,1914,752,846,1068,1111,1555,1333,1333,0.5084887125757432,0.7614761476147615,0.6346586646661665,0.6980674061404639,0.6923076923076923,0.6868167202572347,0.8012003000750187,0.7440085101661267,0.7396121883656509
10,UNIGRAMS,0.5,Training,4100,3896,102,3998,102,7894,3998,3998,0.025512756378189096,1.0,0.025512756378189096,0.5127563781890946,0.049756097560975605,0.5064606029896124,1.0,0.7532303014948062,0.67238479650185
10,UNIGRAMS,0.5,Test,1347,1319,27,1320,40,2626,1333,1333,0.020057527510159608,0.675,0.020255063765941484,0.34762753188297074,0.03932993445010925,0.5026656511805027,0.9902475618904726,0.7464566065354876,0.6668350593584238
100,UNIGRAMS,0.5,Training,4752,3244,754,3998,754,7242,3998,3998,0.18859429714857429,1.0,0.18859429714857429,0.5942971485742872,0.3173400673400673,0.552057442695388,1.0,0.776028721347694,0.711387900355872
100,UNIGRAMS,0.5,Test,1481,1185,191,1290,234,2432,1333,1333,0.13866369818261018,0.8162393162393162,0.14328582145536384,0.47976256884734003,0.24377791959157627,0.5304276315789473,0.967741935483871,0.7490847835314092,0.6852589641434262
1000,UNIGRAMS,0.5,Training,7837,159,3839,3998,3839,4157,3998,3998,0.9602301150575288,1.0,0.9602301150575288,0.9801150575287644,0.9797116243460507,0.9617512629299976,1.0,0.9808756314649988,0.9805027590435316
1000,UNIGRAMS,0.5,Test,1907,759,890,1017,1206,1460,1333,1333,0.5093902883072606,0.7379767827529021,0.6676669167291823,0.7028218497410422,0.7010634107916502,0.6965753424657535,0.7629407351837959,0.7297580388247746,0.7282491944146081
10,BIGRAMS,0.75,Training,7862,131,3866,3996,3866,4127,3998,3995,0.9672255401793514,1.0,0.966983491745873,0.9834917458729364,0.9832146490335708,0.9682578143930216,1.000250312891114,0.9842540636420678,0.9839940901255849
10,BIGRAMS,0.75,Test,1565,1100,463,1102,693,1972,1333,1332,0.2873612547280964,0.6681096681096681,0.34733683420855216,0.5077232511591101,0.4570582428430405,0.5588235294117647,0.8273273273273273,0.6930754283695459,0.6670702179176756
100,BIGRAMS,0.75,Training,7993,0,3997,3996,3997,3996,3998,3995,1.0000001252190551,1.0,0.9997498749374687,0.9998749374687343,0.9998749218261413,1.0,1.000250312891114,1.000125156445557,1.0001251407833813
100,BIGRAMS,0.75,Test,1572,1093,472,1100,704,1961,1333,1332,0.29241544620389337,0.6704545454545454,0.35408852213053266,0.512271533792539,0.46342660775650474,0.5609382967873534,0.8258258258258259,0.6933820613065896,0.66808381415123
1000,BIGRAMS,0.75,Training,7993,0,3997,3996,3997,3996,3998,3995,1.0000001252190551,1.0,0.9997498749374687,0.9998749374687343,0.9998749218261413,1.0,1.000250312891114,1.000125156445557,1.0001251407833813
1000,BIGRAMS,0.75,Test,1572,1093,472,1100,704,1961,1333,1332,0.29241544620389337,0.6704545454545454,0.35408852213053266,0.512271533792539,0.46342660775650474,0.5609382967873534,0.8258258258258259,0.6933820613065896,0.66808381415123
10,BIGRAMS,0.5,Training,7881,112,3885,3996,3885,4108,3998,3995,0.9719791059484687,1.0,0.9717358679339669,0.9858679339669835,0.9856653558289991,0.9727361246348588,1.000250312891114,0.9864932187629865,0.9863013698630136
10,BIGRAMS,0.5,Test,1522,1143,422,1100,654,2011,1333,1332,0.26143923368229444,0.6452599388379205,0.31657914478619653,0.48091954181205854,0.4247609461499748,0.5469915464942815,0.8258258258258259,0.6864086861600537,0.6580915345498056
100,BIGRAMS,0.5,Training,7993,0,3997,3996,3997,3996,3998,3995,1.0000001252190551,1.0,0.9997498749374687,0.9998749374687343,0.9998749218261413,1.0,1.000250312891114,1.000125156445557,1.0001251407833813
100,BIGRAMS,0.5,Test,1531,1134,437,1094,675,1990,1333,1332,0.2692553769072899,0.6474074074074074,0.3278319579894974,0.4876196826984524,0.4352589641434263,0.549748743718593,0.8213213213213213,0.6855350325199572,0.6586393738711619
